Número,Nombre completo,Partido,Trabajó con Petro,Es cercano a Samuel Moreno,Tiene un vínculo directo o indirecto con el carrusel de la contratación,Tiene padrino político,Fue candidato presidencial,Es concejal,Fue concejal,Es víctima,Ha ocupado cargos públicos,Ha estado en más de dos partidos,Tiene maquinaria ,Es delfín,Es mujer,Es cabeza de lista,perfilito,Link foto
85,Aída Avella,UP,,,,,,,si,si,si,,si,,si,si,"La ex fórmula vicepresidencial de Clara López se lanzó como cabeza de lista de la resucitada UP que recuperó su personería jurídica en 2013. Antes había hecho campaña como candidata a la Presidencia. Además de ser una veterana del partido, es una líder sindical con amplio reconocimiento en los sectores de izquierda, fue dos veces concejal de Bogotá después de la Constituyente, hasta que abandonó el país cuando le hicieron un atentado con una bazuca en la autopista norte de Bogotá. Además, viene de hacer campaña a la Presidencia con Clara López, y sacar la segunda votación en Bogotá en la primera vuelta con 500.603 votos. Y de ser una de las víctimas que viajó a La Habana el año pasado para reunirse con los equipos negociadores de la paz.",http://lasillavacia.com/archivos/historias/concejobogota2015/85.jpg
82,Alejandro Rivera,Polo,,,,si,,,,,si,,si,,,,"Es el candidato de Marcha Patriótica al Concejo. Es abogado de Universidad Libre, profesor de partidos políticos en la Udca y es actual edil del Polo en Engativá.",http://lasillavacia.com/archivos/historias/concejobogota2015/82.jpg
94,Álvaro Acevedo,Liberal,,,,,,,,,,,si,,,,"Líder comunitario de Rafael Uribe Uribe. Se ha lanzado las dos últimas veces al Concejo y las dos se ha quemado, pero solo le han hecho falta unos tres mil votos que en estas elecciones parece que puede lograr. ",http://lasillavacia.com/archivos/historias/concejobogota2015/94.jpg
75,Álvaro Argote Muñoz,Polo,,si,,,,si,,,si,,,,,,"Es educador y sindicalista, concejal desde el 2003, muy cercano a Jaime Dussán. Llegó al Concejo tras quemarse cuando intentó llegar a la Cámara en 2002. Gracias a su liderazgo entre los maestros, hace cuatro años sacó 11 mil votos y este año quiere lograr su cuarto período en el Concejo. Fue uno de los que acompañó a Samuel Moreno durante su gobierno en la coalición que armó el Alcalde en el Concejo. ",http://lasillavacia.com/archivos/historias/concejobogota2015/75.jpg
100,Alvaro Mejía Bravo,Cambio Radical,,,,,,,si,,si,,,,,,Ex concejal por Cambio Radical en el 2004 y 2007. Hace cuatro años intentó reelegirse pero se quemó con 7.300 votos.,http://lasillavacia.com/archivos/historias/concejobogota2015/100.jpg
110,Andrés Alvarado Pérez,Conservador,,,,,,,,,si,,,,,,"Politólogo de la Universidad del Rosario. En 2004, fue asistente de asuntos comunitarios en Acnur y luego, fue asesor de la ex representante a la Cámara, Sandra Ceballos y acompañó la campaña del concejal Javier Palacios de La U en 2011, y hasta el 2013. También ha sido asesor del Ministerio de Ambiente.",http://lasillavacia.com/archivos/historias/concejobogota2015/110.jpg
5,Andrés Forero,Centro Democrático,,,,si,,,,,,,,,,,"Economista de la Universidad Católica de Chile. Llegó al país hace tres años y desde entonces se dedicó a trabajar en el sector privado como empresario. Es de un empresario reconocido en el sector de tubos de pvc. Es columnista, cofundador y subdirector de la revista digital La Otra Esquina de la hoy senadora Paloma Valencia. El año pasado aspiró a la Cámara por el Centro Democrático en Bogotá, en el puesto octavo, pero se quemó.",http://lasillavacia.com/archivos/historias/concejobogota2015/5.jpg
92,Andrés Giovanni Barrios,Liberal,,,,si,,,,,,,si,,,,"Es pastor cristiano, del grupo político de la senadora Viviane Morales. Su papá Alfredo Barrios es el Presidente del Centro Cristiano Empresarial Fe en Acción. ",http://lasillavacia.com/archivos/historias/concejobogota2015/92.jpg
90,Andrés Jiménez,La U,,,,si,,,,,si,,,,,,"Abogado y líder popular que se quemó en las elecciones al Concejo del 2003 con 1.703 votos y otra vez se quemó en el 2011 con 5.300 votos. Jiménez contruyó redes de apoyo en Kennedy y Usáquen ayudando a los vecinos con denuncias penales y defendiéndolos cuando van ser expropiados de sus lotes de invasión que ha ayudado a legalizar como contó La Silla. Es el candidato del ex representante a la Cámara, Wilson Gómez, quien se quemó el año pasado tratando de reelegirse y ya sin su padrino (porque ya no trabajan juntos), el ex concejal Hipólito Moreno, condenado por el carrusel de contratación que se robó Bogotá. Jiménez es amigo personal de Gómez y trabajó con él en su UTL en el Congreso. Además, según una fuente de La U, también tendría el apoyo del senador Roy Barreras. ",http://lasillavacia.com/archivos/historias/concejobogota2015/90.jpg
2,Angela Garzón Caicedo,Centro Democrático,,si,,si,,,,,si,,,si,si,,"La hija del ex vicepresidente Angelino Garzón, trabajó en la Alcaldía de Samuel Moreno como subdirectora de Proyección Internacional en la Dirección Distrital de Relaciones Internacionales. Además, fue secretaria de participación social del Partido Liberal, gerente nacional del Comité Social de la reelección de Santos, directora de los programas de equidad de género de los tres partidos de la Unidad Nacional e incluso sonó como candidata roja a la Cámara.",http://lasillavacia.com/archivos/historias/concejobogota2015/2.jpg
53,Angélica Marín,Alianza Verde,,,,,,,,,si,,si,,si,,"Tres veces edil de Chapinero, primero en el Polo pero después en los verdes. Ahora quiere dar el brinco al Concejo. ",http://lasillavacia.com/archivos/historias/concejobogota2015/53.jpg
93,Ángelo Gravier,Liberal,,,,,,,,,si,,si,,,,"Es actual edil de Kennedy que hace cuatro años sacó la primera votación del partido. Tiene el respaldo del ex representante a la Cámara cristiano, Orlando Velandia, que se quemó en el 2014 intentando brincar al Senado. ",http://lasillavacia.com/archivos/historias/concejobogota2015/93.jpg
37,Antonio Sanguino Paéz,Alianza Verde,,,si,,,si,,,si,,,,,si,"Ex precandidato verde a la Alcaldía de Bogotá que perdió la consulta verde que dejó como ganador a Carlos Vicente de Roux. Repite en el primer puesto con el que hace cuatro años sacó más 18 mil votos y fue el segundo más votado de la lista del entonces Partido Verde. Esta es la tercera vez que  aspira al Concejo. Como líder de izquierda, su trayectoria política incluye haber militado en el ELN como instigador de luchas populares pero no como combatiente. Además, fue director de la Corporación Nuevo Arcoiris por más de 10 años. Hoy, además, es co-presidente de la Alianza Verde. Es sociólogo y tiene una maestría en desarrollo regional. ",http://lasillavacia.com/archivos/historias/concejobogota2015/37.jpg
116,Arbey Delgado Argote,Opción Ciudadana,,,,,,,,si,si,,,,,,"Ex sargento del Ejército retirado que estuvo secuestrado por las Farc entre 1998 y 2010, uno de los que más tiempo duró en manos de esa guerrilla.  Fue rescatado por el ejército en el sur del Guaviare en la misma operación del General Luis Mendieta. En 2014 aspiró al Senado por Cambio Radical y se retiró para apoyar al opita, Jorge Eduardo Gechem.",http://lasillavacia.com/archivos/historias/concejobogota2015/116.jpg
14,Armando Gutiérrez,Liberal,,si,si,,,si,,,si,,si,,,,"Es concejal actual del partido Liberal que llegó en reemplazó a Jorge Ernesto Salamanca, que renunció cuando fue imputado por haber participado en el Carrusel de la Contratación que se robó Bogotá. Aunque es muy cercano al ex representante Germán Olano y a su hermano Plinio, congresista de La U, esa cercanía no se ha traducido en muchos votos: se ha quemado en las dos últimas elecciones al Concejo (con 10 mil votos en las más recientes), aunque ya había ocupado una curul cuando reemplazó a Ángela Benedetti en febrero de 2011. Es decir, ha llegado las dos veces por rebote. Fue uno de los concejales que hizo parte de la coalición de gobierno de Samuel Moreno. Esta vez vuelve a aspirar, ahora como heredero de Salamanca, quien en 2011 sacó un poco más de 14 mil votos, y eso podría ayudarle a salvar su curul. Es abogado del Externado. ",http://lasillavacia.com/archivos/historias/concejobogota2015/14.jpg
50,Blanca Inés Durán,Alianza Verde,si,,,,,,,,si,,,,si,,"Ex alcaldesa de Chapinero entre 2008 y 2012 y ex directora del Dadep hasta octubre cuando renunció para lanzarse. Aunque al principio sonó para ir por la lista de Progresista de Petro, terminó yendose con el Verde. Es representante de la comunidad LGBTI e ingeniera civil de la Universidad de los Andes. ",http://lasillavacia.com/archivos/historias/concejobogota2015/50.jpg
43,Borys Montesdeoca Anaya,Alianza Verde,si,,,,,si,,,si,,,,,,"Es licenciado en biología y química de la Universidad de Córdoba, con maestría en desarrollo educativo en la Universidad Pedagógica. Fue líder sindical del magisterio en Bogotá y con el apoyo de los maestros llegó al Concejo hace cuatro años con los Progresistas de Petro. Después, se alejó del Alcalde y se quedó en la Alianza Verde donde ahora quiere repetir. ",http://lasillavacia.com/archivos/historias/concejobogota2015/43.jpg
8,Carlos Gabriel Camacho Obregón,Centro Democrático,,,,si,,,,,si,,si,,,,"Ingeniero Civil, Administrador de Empresas, y especialista en finanzas públicas de las universidades Nacional y Javeriana. Dos veces edil de la localidad de Suba por el Partido de La U en los dos últimos períodos pero renunció en junio del 2014 para no inhabilitarse. En el 2011 fue el segundo más votado de esa lista con 4.847 votos",http://lasillavacia.com/archivos/historias/concejobogota2015/8.jpg
46,Carlos Roberto Saenz Vargas,Alianza Verde,si,,,,,si,,,si,,,,,,"Licenciado en Ciencias Sociales del Instituto Karl Marx (Berlín, Alemania). Dos veces concejal en los dos últimos períodos, primero con el Polo y después con Progresistas. Su fuerte son los temas ambientales y, por ejemplo, fue uno de los que denunció a los familiares políticos de Gustavo Petro en la obra del humedal La Conejera. ",http://lasillavacia.com/archivos/historias/concejobogota2015/46.jpg
7,Carolina Villegas de Núbila,Centro Democrático,,si,,,,,,,,,,,si,,"Villegas trabajó con Cristina González, la esposa de Samuel Moreno cuando él era Alcalde. Además, es la hija de Luis Bernardo Villegas, secretario de movilidad de esa alcaldía durante los primeros 11 meses de mandato. Es profesional en gobierno y relaciones exteriores del Externado y fue la coordinadora de la campaña a la presidencia de Zuluaga en Bogotá. Hasta antes de ser candidata, fue la secretaria del Directorio Distrital del uribismo.",http://lasillavacia.com/archivos/historias/concejobogota2015/7.jpg
73,Celio Nieves Herrera,Polo,,si,,,,si,,,si,,si,,,si,"Nieves fue el concejal más votado de esa lista hace cuatro años -cuando contó con el apoyo de los educadores y del ex senador Carlos Guevara-. Es biólogo de la Universidad Pedagógica e hizo un posgrado en planeación para la educación ambiental en la Universidad Santo Tomás. Desde entonces, estuvo vinculado al sector educativo en cargos directivos y tiene entre los maestros su fortín electoral. Durante el Gobierno de Samuel Moreno hizo parte de su coalición de gobierno en el Concejo. ",http://lasillavacia.com/archivos/historias/concejobogota2015/73.jpg
60,César García Vargas,Cambio Radical,,,,,,si,,,si,,si,,,,"Actual concejal, quiere repetir. Es sobrino del concejal liberal, Germán García Zacipa, con quien no tienen buena relación. Es administrador de empresas de la Universidad Nacional. Antes de ser elegido en 2007, fue tres veces edil de Engativá. ",http://lasillavacia.com/archivos/historias/concejobogota2015/60.jpg
4,Daniel Palacios Martínez,Centro Democrático,,,,,,,,,si,,,,,,"Politólogo de la Universidad de la Florida. Trabajó con el ex presidente Álvaro Uribe en el Programa presidencial Colombia Joven y fue el enlace del Congreso en el Ministerio del Interior. Era asistente de María del Rosario Guerra que era quien coordinaba la agenda en las giras de Uribe por el país. Según personas que lo conocen, también es muy cercano a sus hijos Tomás y Jerónimo. El año pasado, Palacios ocupó el renglón 41 de la lista al Senado del Centro Democrático.",http://lasillavacia.com/archivos/historias/concejobogota2015/4.jpg
21,David Ballén,La U,,,si,si,,,,,si,,si,,,,"Ex jefe de la Oficina Jurídica de la Contraloría de Bogotá. Amigo personal del ex concejal Rodríguez, trabajó en su Unidad de Apoyo Normativo (UAN) del Concejo. A mediados de 2013, Ballén tuvo que dejar el cargo en la Contraloría por sus presuntos vínculos con José Juan Rodríguez, después de que en una audiencia de Emilio Tapia, Ballén envió una delegada suya a pedir que la Contraloría Distrital fuera declarada víctima en el caso del carrusel de la contratación que se robó a Bogotá. El contralor Diego Ardila dijo que no sabía de los vínculos de Ballén con Rodríguez y le aceptó la renuncia. Pero, como contó La Silla, la esposa de Ballén, Paula Marcela Castro, ex directora administrativa del Concejo, quedó a cargo de la Unidad de Apoyo del ex concejal en el Concejo. Ahora tiene a 10 ediles trabajando en su campaña. ",http://lasillavacia.com/archivos/historias/concejobogota2015/21.jpg
31,David Racero Mayorca,Progresistas,si,,,,,,,,si,,,,,,"Fue subdirector de juventudes en la Secretaría de Integración de Social hasta octubre cuando se retiró para no inhabilitarse. Es hijo de Jorge Eliecer Racero, que fue director del Ipes en los primeros seis meses del Gobierno de Gustavo Petro. Es filósofo. ",http://lasillavacia.com/archivos/historias/concejobogota2015/31.jpg
38,Diana Alejandra Rodríguez,Alianza Verde,si,,,,,si,,,si,,si,,si,,"Dos veces edil de Kennedy desde el 2004 por el Polo. Llegó al concejo de la mano de Gustavo Petro hace cuatro años, pero se volvió una de sus más duras críticas despues de la fusión de Progresistas con el Partido Verde. Tiene el apoyo de los maestros del Distrito. Es internacionalista de la Universidad Jorge Tadeo Lozano. ",http://lasillavacia.com/archivos/historias/concejobogota2015/38.jpg
9,Diana Diago,Centro Democrático,,,,si,,,,,si,,si,si,si,,"Si Diana es elegida, esta sería la tercera persona de la familia que llega al Cabildo. El primero fue su papá, Leo César Diago que fue concejal entre 1998 y 2003. En 2007, lo reemplazó su esposa y la mamá de Diana, Liliana Guáqueta de Diago, elegida por La U, y que hizo parte de la coalición de Gobierno de Samuel Moreno en el Concejo. Liliana sigue siendo concejal y no ha sido mencionada en la investigación del 'carrusel' de contratación. Desde el año pasado, su papá se acercó al uribismo, lo que explica que ella haya terminado inscrita en la lista. Es abogada de la Universidad Externado con maestría en derecho público y desarrollo de entidades territoriales de la Universidad Panthéon-Assas de París. Además, es socia y directora de la firma de abogados de la familia Diago Abogados Consultores Asociados. Fue asesora de la Secretaría de Gobierno del ex gobernador de Cundinamarca, Andrés González y trabajó como abogada en la Contraloría de Bogotá y en Empresas Públicas de Cundinamarca.",http://lasillavacia.com/archivos/historias/concejobogota2015/9.jpg
52,Diego Andrés Cancino,Alianza Verde,,,,si,,,,,,,,,,,"Es de la cuerda del ex alcalde de Antanas Mockus con quien ha trabajado en la campaña a la presidencia en el 2006, luego estuvo en Corpovisionarios entre 2007 y 2010 y ese año se fue a la campaña presidencial de Mockus como asistente personal. Estudió filosofía en la Universidad Nacional. ",http://lasillavacia.com/archivos/historias/concejobogota2015/52.jpg
3,Diego Fernando Devia,Centro Democrático,,,,si,,,,,,,si,,,,"Pastor de la iglesia cristiana Misión Carismática, liderada por el pastor César Castellanos y que tiene más de 60 mil feligreses en Bogotá. Es teólogo y músico y casi toda su carrera la ha hecho en la organización de la familia Castellanos que hoy tienen un senador, Orlando Catañeda y una representante a la Cámara, Esperanza Pinzón de Jiménez.",http://lasillavacia.com/archivos/historias/concejobogota2015/3.jpg
49,Diego Laserna Arias,Alianza Verde,,,,,,,,,si,,,si,,,"Politólogo y economista de la Universidad de Columbia en Nueva York y está termiando una maestría en planeación urbana en MIT en Boston. Era una de las cabezas del Combo 2600, un grupo de jóvenes dedicado a estudiar Bogotá. De hecho, las tertulias que hacían con invitados de primer nivel como Gina Parody, eran su casa. Trabajó en el DNP como contratista en la Red Juntos para la superación de la pobreza extrema. Luego pasó a asesorar a Angélica Lozano en el Concejo de Bogotá. Es hijo de Paulo Laserna, ex presidente de Caracol TV y quien sonó como candidato conservador a la Alcaldía. ",http://lasillavacia.com/archivos/historias/concejobogota2015/49.jpg
1,Diego Molano Aponte,Centro Democrático,,,,si,,,,,si,,,,,si,"Molano, de la cuerda de Luis Alfonso Hoyos, es el director programático de la campaña de Pacho Santos a la Alcaldía y la cabeza de lista al Concejo. Es administrador de empresas de la Universidad del Rosario con máster en administración pública de la Universidad de Columbia en Nueva York. Ha sido Director de Desarrollo Sostenible de la Fundación Bavaria. También tiene una larga experiencia en el sector público: Coordinador del Plan Colombia y asesor de la Empresa de Acueducto y Alcantarillado de Bogotá. Además, fue director del Icbf de Santos I y de Acción Social durante el segundo gobierno de Uribe.",http://lasillavacia.com/archivos/historias/concejobogota2015/1.jpg
54,Diego Ramiro García Bejarano,Alianza Verde,si,,,,,si,,,si,,si,,,,"Este ambientalista es líder de varias organizaciones sociales en el sur de Bogotá, especialmente en las zonas rurales y semirurales como las veredas Mochuelo y Quiba. Fue parte de la organización Agenda por Bogotá, donde trabajó cerca de Roberto Saenz. Hace cuatro años sacó 8.705 votos con Progresistas pero se quedó con los verdes con los que quiere repetir en su curul. ",http://lasillavacia.com/archivos/historias/concejobogota2015/54.jpg
77,Donka Atanassova Iakimorra,Polo,si,,,,,,,,si,si,,,si,,"Esta socióloga búlgara, que lleva en Colombia más de veinte años y renunció a su nacionalidad búlgara para lanzarse a la Cámara en el 2014. Viene del Polo Democrático, donde hacía parte del Comité de Ética y fue una de las voces que dijo que el Comité Ejecutivo había expulsado ilegalmente al Partido Comunista de ese partido. Después de que se quemó, entró a la Administración de Gustavo Petro donde fue Directora de Seguridad en la Secretaría de Gobierno pero renunció en octubre para no inhabilitarse. Aunque fue una de las que sonó para integrar la lista Progresistas en Bogotá, terminó inscribiendose en el Polo.",http://lasillavacia.com/archivos/historias/concejobogota2015/77.jpg
44,Edward Anibal Arias Rubio,Alianza Verde,,,,,,si,,,si,,,,,,"Es médico de la Universidad Javeriana con una maestría en administración en negocios de la Universidad de los Andes. Ha sido dos veces concejal en los dos últimos períodos, las dos veces por el Partido Verde. En el 2011, duplicó su votación a más de 18 mil votos. ",http://lasillavacia.com/archivos/historias/concejobogota2015/44.jpg
98,Eliana Sandoval,Alianza Verde,,,,,,,,,,,,,,,"Politóloga y líder de la campaña ""salvemos Transmilenio"". Es miembro de La Silla Cachaca. ",http://lasillavacia.com/archivos/historias/concejobogota2015/82.jpg
103,Fabio Macea Acuña,Cambio Radical,,,,,,,si,,si,,,,,,"Este abogado y politólogo, fue concejal varias veces por el partido Liberal durante los gobiernos de Peñalosa y Mockus. Se lanzó a la Cámara en 2002 y se quemó con 11 mil votos. ",http://lasillavacia.com/archivos/historias/concejobogota2015/103.jpg
36,Fernando Rojas Parra,Asi,,,,,,,,,si,,,,,,"
Politólogo de la Universidad de los Andes con maestrías en gestión urbana en la Universidad Católica del Paraná, en Brasil, y en historia de la Universidad de los Andes. Ha sido profesor de las universidades Javeriana y del Rosario y analista y columnista en diversos medios de comunicación en temas de movilidad. Hasta antes de lanzarse, trabajó como asesor de movilidad en la UAN del concejal Juan Carlos Flórez.",http://lasillavacia.com/archivos/historias/concejobogota2015/36.jpg
67,Fernando Vásquez Bustos,Conservador,,,,,,si,,,si,,,,,,"Ex edil de Usme y candidato al Concejo hace cuatro años por los godos. Se quemó pero llegó al Concejo a reemplazar a Omar Mejía, luego de que fuera imputado por el carrusel de la contratación. ",http://lasillavacia.com/archivos/historias/concejobogota2015/67.jpg
124,Ferney Gustavo Páez,Libres,,,,,,,,,,,si,si,,,"Pastor del Centro de Alabanza, hijo del también pastor Gustavo Páez tuviera el aval del PIN y sacara más de 30 mil votos a la alcaldía en 2011.",http://lasillavacia.com/archivos/historias/concejobogota2015/124.jpg
106,Flavio Maya,Conservador,,,,,,,si,,si,,,,,,"Fue concejal en 2002 con 11.423 votos de una lista en la que el segundo renglón era José Juan Rodríguez, el ex concejal investigado por el carrusel de la contratación.  Ese año estuvo en un lío que investigó la Procuraduría por tráfico de influencias. Antes había sido dirigente sindical de la Asociación Distrital de Educadores (ADE) y de Fecode (de donde fue expulsado) y auditor general de la Aeronáutica Civil. Entre 1984 y 1987, se desempeñó como Personero Delegado para lo penal. Posteriormente estuvo en la secretaría General del Instituto de Fomento Industrial (IFI). En 1997 se lanzó solo por primera vez al Concejo y se quemó. El año pasado se anunció como precandidato a la Alcaldía de Bogotá. ",http://lasillavacia.com/archivos/historias/concejobogota2015/106.jpg
32,Gabriel Benavides,Progresistas,si,,,,,,,,si,,,,,,"Fue jefe de prensa de Progresistas y asesor de la campaña Gustavo Petro y de Antonio Navarro. Después de la campaña trabajó en la formación de Progrsistas. Se inscribió a la Cámara pero no quedó como candidato y por eso, apoyó a Angélica Lozano. Es literato de la Universidad Autónoma. ",http://lasillavacia.com/archivos/historias/concejobogota2015/32.jpg
16,Germán García Maya,Liberal,,,,si,,,,,,,,si,,,"Hijo del actual Concejal también por el liberalismo, Germán García Zacipa, uno de los concejales que hizo parte de la coalición de Gobierno de Samuel Moreno en el Concejo. Tiene 26 años y es abogado de la Universidad del Rosario. Está haciendo campaña con su papá. ",http://lasillavacia.com/archivos/historias/concejobogota2015/16.jpg
